ticker,entry_date,entry_price,exit_date,exit_price,shares,units,pnl_net,hold_days,entry_reason,exit_reason,return,max_high,trailing_stop_final,earned_mode,pyramid_count,atr_at_entry
REGN,2020-02-27,465.4157447334996,2020-02-28,419.5357493865603,4,1,-223.51998138775707,1,Breakout_50 | Trend: +40.1%,ATR Stop,-0.0985785200997239,466.84608409703293,435.3190664845909,False,0,15.048339124454344
GILD,2020-02-27,61.75820769174693,2020-02-28,55.338672922824664,32,1,-245.4251126055126,1,Breakout_50 | Trend: +15.3%,ATR Stop,-0.10394626089157288,62.207730876967915,57.81952856080761,False,0,1.969339565469659
LQD,2020-03-04,107.44419738479651,2020-03-09,105.57858115728698,18,1,-73.58109209517161,3,Breakout_50 | Trend: +6.6%,Rotation -> NEM (+32.2% vs +7.3%),-0.017363582891573803,108.18403827209228,106.28599474630943,False,0,0.5791013192435395
TLT,2020-02-28,128.91262739963287,2020-03-11,138.28103175520607,15,1,100.52606533359807,8,Breakout_50 | Trend: +10.6%,ATR Stop,0.07267251117713158,150.2091779507799,137.88531133951156,True,0,1.3276960829728648
IEF,2020-02-28,100.76229319864802,2020-03-11,103.79981027501748,19,1,17.712824451019628,8,Breakout_50 | Trend: +4.9%,ATR Stop,0.030145374623234744,106.50980017211785,102.92323384578587,True,0,0.4544152490655305
ETSY,2020-02-28,56.849998474121094,2020-03-12,45.27000045776367,34,1,-433.71993255615234,9,Breakout_50 | Trend: +6.5%,ATR Stop,-0.2036939019730809,63.2400016784668,52.280500411987305,True,0,2.451071330479213
REGN,2020-03-05,477.7127008628863,2020-03-13,442.02381765547045,3,1,-147.0666496222476,6,Breakout_50 | Trend: +49.2%,ATR Stop,-0.07470783829475647,496.64479814307697,437.71292872326467,False,0,19.999886069810824
NEM,2020-03-09,41.98692001111356,2020-03-13,38.55239365717375,47,1,-201.42273863517102,4,Rotation: Breakout_50 | Trend: +32.2%,ATR Stop,-0.08179991180659885,42.47396982084941,37.99996270635367,False,0,1.9934786523799464
CPB,2020-03-18,42.69348861851659,2020-03-23,35.97424637773415,46,1,-349.08514307599233,3,Breakout_50 | Trend: +18.8%,ATR Stop,-0.15738330265820066,43.691000034837074,37.49502770380951,False,0,2.5992304573535376
GIS,2020-03-18,45.880175975050065,2020-03-24,39.02002543637683,43,1,-334.98647316294927,4,Breakout_50 | Trend: +13.7%,ATR Stop,-0.14952319586576635,47.71856438242317,40.21720580346365,False,0,2.8314850857932066
SJM,2020-03-18,94.28291923763389,2020-03-24,79.43585931134909,21,1,-351.7882584519808,4,Breakout_50 | Trend: +8.5%,ATR Stop,-0.1574734856147566,98.7862515345723,83.30524058242862,False,0,5.488839327602631
WMT,2020-03-19,38.21499333870756,2020-04-15,39.6089825814445,51,1,31.09345137958408,18,Breakout_50 | Trend: +6.7%,Rotation -> REGN (+48.0% vs +11.8%),0.036477547709657276,39.8515516685418,33.25838717886674,False,0,2.4783030799204093
EQIX,2020-04-13,608.9527630509343,2020-05-06,607.8805386174008,3,1,-43.21667330060052,17,Breakout_50 | Trend: +21.9%,Rotation -> ETSY (+41.0% vs +18.7%),-0.0017607678273131588,639.4532464604144,529.1182273301823,False,0,39.917267860376
NFLX,2020-04-14,39.75,2020-05-12,44.20000076293945,1,1,-35.54999923706055,20,Breakout_50 | Trend: +22.7%,Rotation -> ENPH (+91.3% vs +33.4%),0.11194970472803645,44.95199966430664,40.02799892425537,True,0,1.7407845088413783
NEM,2020-04-13,48.049822630375076,2020-05-27,47.95745400625724,41,1,-43.78711358883139,31,Breakout_50 | Trend: +39.7%,ATR Stop,-0.0019223509903124603,58.05110792113442,50.34231899671239,True,0,2.9774719981720597
MRVL,2020-05-27,29.78131239629781,2020-06-01,31.556675035733512,65,1,75.39857156332063,3,Breakout_50 | Trend: +22.3%,Rotation -> ZS (+73.4% vs +30.7%),0.05961331105261847,32.15173078892124,27.663133247059196,True,0,1.0590895746193076
VRTX,2020-04-07,263.1499938964844,2020-06-02,283.9200134277344,7,1,105.39013671875,38,Breakout_50 | Trend: +25.9%,Rotation -> TSLA (+84.1% vs +30.1%),0.07892844390268294,295.54998779296875,227.62428283691406,False,0,17.762855529785156
ENPH,2020-05-12,60.43000030517578,2020-06-04,53.29999923706055,4,1,-68.52000427246094,16,Rotation: Breakout_50 | Trend: +91.3%,ATR Stop,-0.1179877715060107,70.36000061035156,53.66999912261963,True,0,4.251429149082729
TSLA,2020-06-02,59.64666748046875,2020-07-27,95.66666412353516,33,1,1148.6598892211914,38,Rotation: Breakout_50 | Trend: +84.1%,ATR Stop,0.6038895074039321,119.66600036621094,96.55216598510742,True,0,2.1957620893205916
CRWD,2020-06-04,94.2300033569336,2020-07-27,101.31999969482422,2,1,-25.82000732421875,36,Breakout_50 | Trend: +59.3%,ATR Stop,0.07524138899830501,118.58000183105469,100.33725166320801,True,0,5.3467864990234375
GLD,2020-07-27,181.85000610351562,2020-07-28,182.02000427246094,7,1,-38.81001281738281,1,Breakout_50 | Trend: +17.6%,Rotation -> SLV (+43.0% vs +19.8%),0.0009348263032147308,182.8300018310547,178.33143397739954,False,0,1.7592860630580358
REGN,2020-04-15,521.7750356202888,2020-08-06,624.6600187762924,3,1,268.65494946801084,79,Rotation: Breakout_50 | Trend: +48.0%,Rotation -> ENPH (+89.1% vs +32.0%),0.19718264794653018,660.1801197994109,599.4652654262856,True,0,21.53239618030097
ZS,2020-06-01,96.80000305175781,2020-08-12,118.95999908447266,20,1,403.1999206542969,51,Rotation: Breakout_50 | Trend: +73.4%,ATR Stop,0.2289255716331553,135.85000610351562,119.02600479125977,True,0,4.898713793073382
ETSY,2020-05-06,74.8499984741211,2020-08-31,119.66000366210938,26,1,1125.0601348876953,81,Rotation: Breakout_50 | Trend: +41.0%,ATR Stop,0.5986640761720396,141.41000366210938,122.26750373840332,True,0,4.362786429268973
ALB,2020-08-12,87.06277268412559,2020-09-02,90.59311670140663,22,1,37.66756838018284,15,Breakout_50 | Trend: +28.1%,Rotation -> ZS (+102.7% vs +31.2%),0.0405494094483938,90.99470289139043,80.88268502070576,False,0,3.090043831709913
AMD,2020-07-27,69.27999877929688,2020-09-04,81.44999694824219,28,1,300.75994873046875,29,Breakout_50 | Trend: +46.6%,ATR Stop,0.17566394895177306,94.27999877929688,83.23750114440918,True,0,3.2628571646554128
NVDA,2020-08-31,13.137255557317225,2020-09-04,12.74344435701428,150,1,-99.07168004544178,4,Breakout_50 | Trend: +70.2%,ATR Stop,-0.029976671960499357,14.680319697982243,13.047484246518191,True,0,0.41566788127919974
ZS,2020-09-02,162.99000549316406,2020-09-04,140.0,12,1,-315.88006591796875,2,Rotation: Breakout_50 | Trend: +102.7%,ATR Stop,-0.14105162720623554,163.8000030517578,151.66671534946985,False,0,5.661645071847098
ENPH,2020-08-06,75.30000305175781,2020-09-08,62.029998779296875,24,1,-358.4801025390625,22,Rotation: Breakout_50 | Trend: +89.1%,ATR Stop,-0.17622846925171753,80.47000122070312,66.72857339041573,False,0,4.285714830671038
O,2020-09-04,47.15368760500397,2020-09-10,47.12441854481223,41,1,-41.20003146786122,3,Breakout_50 | Trend: +1.9%,Rotation -> CAT (+19.2% vs +2.8%),-0.0006207162510155628,48.0686510678263,44.99920569940538,False,0,1.0772409527992923
VTR,2020-09-04,36.36496539543376,2020-09-15,37.235101309003774,54,1,6.987339332780934,6,Breakout_50 | Trend: +5.7%,Rotation -> FDX (+58.4% vs +9.5%),0.023927863098675672,37.464939684638615,33.941025067587375,False,0,1.211970163923191
STZ,2020-09-04,174.12769647443184,2020-09-17,175.27600274233959,11,1,-27.368631053014838,8,Breakout_50 | Trend: +9.5%,Rotation -> FCX (+49.0% vs +10.8%),0.006594621597583394,180.42532262520174,168.39512192461694,True,0,2.8662872749074473
