ticker,start_date,end_date,start_price,peak_price,duration_d,duration_td,return_pct,intrawave_dd,target_quality,feat_atr_pct_tm5,feat_atr_pct_tm4,feat_atr_pct_tm3,feat_atr_pct_tm2,feat_atr_pct_tm1,feat_atr_pct_t0,feat_atr_pct_tp1,feat_atr_pct_tp2,feat_atr_pct_tp3,feat_atr_pct_tp4,feat_atr_pct_tp5,feat_bb_width_tm5,feat_bb_width_tm4,feat_bb_width_tm3,feat_bb_width_tm2,feat_bb_width_tm1,feat_bb_width_t0,feat_bb_width_tp1,feat_bb_width_tp2,feat_bb_width_tp3,feat_bb_width_tp4,feat_bb_width_tp5,feat_dist_sma200_tm5,feat_dist_sma200_tm4,feat_dist_sma200_tm3,feat_dist_sma200_tm2,feat_dist_sma200_tm1,feat_dist_sma200_t0,feat_dist_sma200_tp1,feat_dist_sma200_tp2,feat_dist_sma200_tp3,feat_dist_sma200_tp4,feat_dist_sma200_tp5,feat_rsi14_tm5,feat_rsi14_tm4,feat_rsi14_tm3,feat_rsi14_tm2,feat_rsi14_tm1,feat_rsi14_t0,feat_rsi14_tp1,feat_rsi14_tp2,feat_rsi14_tp3,feat_rsi14_tp4,feat_rsi14_tp5,feat_vol_spike_tm5,feat_vol_spike_tm4,feat_vol_spike_tm3,feat_vol_spike_tm2,feat_vol_spike_tm1,feat_vol_spike_t0,feat_vol_spike_tp1,feat_vol_spike_tp2,feat_vol_spike_tp3,feat_vol_spike_tp4,feat_vol_spike_tp5,feat_dist_sma50_tm5,feat_dist_sma50_tm4,feat_dist_sma50_tm3,feat_dist_sma50_tm2,feat_dist_sma50_tm1,feat_dist_sma50_t0,feat_dist_sma50_tp1,feat_dist_sma50_tp2,feat_dist_sma50_tp3,feat_dist_sma50_tp4,feat_dist_sma50_tp5,feat_dist_sma20_tm5,feat_dist_sma20_tm4,feat_dist_sma20_tm3,feat_dist_sma20_tm2,feat_dist_sma20_tm1,feat_dist_sma20_t0,feat_dist_sma20_tp1,feat_dist_sma20_tp2,feat_dist_sma20_tp3,feat_dist_sma20_tp4,feat_dist_sma20_tp5,feat_macd_hist_norm_tm5,feat_macd_hist_norm_tm4,feat_macd_hist_norm_tm3,feat_macd_hist_norm_tm2,feat_macd_hist_norm_tm1,feat_macd_hist_norm_t0,feat_macd_hist_norm_tp1,feat_macd_hist_norm_tp2,feat_macd_hist_norm_tp3,feat_macd_hist_norm_tp4,feat_macd_hist_norm_tp5
ZS,2020-03-12,2020-03-24,39.5,62.14,12,8,57.32,5.65,10.1471,0.06731900930458495,0.07819685382858439,0.09101697056646818,0.0878384590472637,0.09773120453676484,0.0969801035324014,0.09204378871320007,0.09798798108429298,0.09561917343435648,0.09403030324623048,0.09217671220613702,0.40002090523008077,0.45192045958801536,0.5647484419697423,0.5421867227659789,0.6305858788033036,0.7419595818342161,0.7089909651900652,0.7047817775050845,0.5780117168089607,0.46140913743199846,0.34800750793326124,-0.12283764994242032,-0.1863131350566643,-0.27419020791572435,-0.2217799274624031,-0.2883303348521845,-0.3425320593702093,-0.3010490627438399,-0.30039777685975766,-0.2146540826863935,-0.15800005907998085,-0.12908694488932718,44.79517908797654,37.318769939690384,29.93290643560961,37.443478241652095,32.410342593057834,28.977349940535362,34.27841254290662,34.197902775268105,44.3353085422401,49.80461917027764,52.29786954873601,0.6005131951077897,1.07807470402711,1.0368325473260065,1.0092930998100864,1.0104248358506724,1.2663734793801424,0.9435156455024005,0.9659786391455658,0.9958514837098826,1.2570868501115933,0.9409355591202618,-0.036951735499225015,-0.1089952124413334,-0.20622593312617224,-0.15041353045088043,-0.2237255929404984,-0.2830981793815901,-0.23844672790122878,-0.2381930926818834,-0.1462210253109786,-0.08640297081521799,-0.05779796452079347,-0.062650956760164,-0.12546923998108023,-0.2114779215509591,-0.145785286499912,-0.2078476111778896,-0.2558682815120523,-0.19568370060974985,-0.1810758476398394,-0.06684985954493117,0.014211457359603233,0.06161594518402396,-0.013384746600465226,-0.015953928235038547,-0.025785437603006355,-0.023052630656951713,-0.029077041094391808,-0.03756538209265137,-0.03301790216744849,-0.029408137061181252,-0.015423754046070541,-0.00257601666492483,0.007349436828540649
AMZN,2020-03-16,2020-04-30,84.4575,123.7,45,32,46.46,7.6,6.1158,0.04282873117512697,0.04318894016501708,0.046479604372516144,0.05391917528712315,0.050713083084796426,0.05709168672933937,0.057863843283573094,0.057156517392113096,0.05699004685944834,0.06006827036732724,0.05824558039549443,0.2671590077631188,0.25562166293305116,0.2714339778756951,0.3255710285413042,0.304411179433716,0.3340277397831222,0.29472283464556664,0.2619585898309041,0.2203502794633263,0.19707473360559352,0.17949617516436847,-0.027251395437698257,0.021812545163961663,-0.01650808806538875,-0.09403009945691912,-0.03537154515240831,-0.08685592417689111,-0.02277937997269917,-0.011167830054879325,0.015936498059404634,-0.003171127290217642,0.02705500882761805,34.23730886038173,43.90113072638468,39.088578516653364,31.52339856285657,40.795575612735156,36.135800994852396,44.57774640986516,46.01263460690338,49.263806237936215,47.17107439789587,50.83414152807772,1.4800712643743483,1.3252049587667363,1.046137708235303,1.963919287905735,1.4522552759378988,1.3973071755115152,1.610108622711217,1.3519002600023828,1.387026905913326,1.2657544065926132,0.9985760204920051,-0.07872792450810302,-0.03228907898794536,-0.06812027492862884,-0.140446424323381,-0.08428769633925146,-0.1315982567640725,-0.06993705990009262,-0.05783007708871544,-0.03135028051384533,-0.048842913853351745,-0.019626806573807175,-0.11077867637488219,-0.06011673278810235,-0.08789515452335998,-0.1498602255637024,-0.08644927789950663,-0.1255306401420225,-0.05558195067445049,-0.0354338337337149,-0.0014267596753967926,-0.013378889324640444,0.019846471499189403,-0.015552837540718116,-0.012525444643921815,-0.013301583113151836,-0.01930596372657866,-0.016062444829159753,-0.018182224735115986,-0.012435647102907234,-0.00784325222763459,-0.002576463687329131,-0.00023623205229699587,0.0033599988233469873
CRM,2020-03-16,2020-03-26,122.5015,152.4912,10,8,24.48,5.64,4.339,0.05716266023723331,0.056956012138837976,0.06187206904435263,0.07200264583287032,0.07017668453571978,0.09138600156093798,0.08740000630213704,0.0956107917513072,0.09379029788803664,0.09560713008819335,0.09394693520684815,0.30390119758779377,0.298674430553314,0.33556368914680573,0.42680581499242193,0.4273319805354594,0.5989058287597223,0.5720156959475486,0.5989934720568132,0.5511521499529871,0.5329307377669357,0.5066136747531871,-0.05654030967720587,0.006425057900865483,-0.035807227829053136,-0.12261369694738677,-0.077595754401765,-0.22339165144696413,-0.15349269148035005,-0.1730385037598659,-0.1275785522196222,-0.12774598105734408,-0.11990473566450911,26.816387286897168,38.09947568243572,34.29410680952361,28.061209264721697,34.640569798007846,26.21021820052195,34.35790876700011,33.22797904265484,38.197609254537404,38.15101237783233,39.00319150718112,1.355841063433386,1.5256275404573456,1.3252614467242028,1.6040849352836164,1.5698228711927342,1.4917808374155739,1.2643138182142495,1.2863386560206318,1.0094068912993261,1.1627924352787458,1.0937123695400788,-0.15749352556469184,-0.10073405895047606,-0.13746712709729328,-0.21356077123209077,-0.17196447267913664,-0.30017875858125764,-0.2349230038488456,-0.2493938474809783,-0.20511509508700085,-0.20228847956247242,-0.1919753457383518,-0.16190913549905475,-0.09882535258774473,-0.12823011969638773,-0.19599680004602804,-0.14488818676999313,-0.2668266644991198,-0.1879030787070931,-0.19228943592251968,-0.133933990899445,-0.12092840304892917,-0.10066330021836745,-0.02204024568308283,-0.018675842074537555,-0.0198150234563848,-0.02698915999020305,-0.02405884575200929,-0.037568712409854106,-0.032161264817262156,-0.030734430904062582,-0.02244664729360092,-0.016527568264083733,-0.010668080977746078
EWJ,2020-03-16,2020-03-30,37.8526,44.4825,14,10,17.52,7.38,2.3722,0.025998683476725938,0.027232007948572102,0.029825383867245876,0.041597519232157085,0.041372015291212975,0.05017515289383534,0.05039698218570302,0.05163198103980664,0.05190472523221473,0.053044905214388566,0.05304335978564599,0.22664007702107372,0.21953569360313516,0.23056551995927504,0.30358182616692697,0.31086894348376476,0.37326389694273227,0.3664805078582884,0.3842271948501883,0.3777322699076389,0.3704828148633207,0.3761315902265696,-0.11125605528491597,-0.0846942808183954,-0.11543983060903222,-0.2016424332328909,-0.17502858207243005,-0.2287923129275287,-0.19050938876734236,-0.2071142970668727,-0.19549661062912832,-0.19299268061565075,-0.20083052718033476,21.402070047935524,31.71309130154073,27.221949624955656,19.078301353479176,26.25022997703546,21.911102055327873,30.509425182215438,28.95468043341593,31.38651916358397,31.832356639701544,30.908245145841136,1.100298943000898,1.2619078205819385,0.6226955990367039,1.1128042824209745,0.5988762158182311,0.47795162401166646,0.8336524631685858,0.8516405215528295,0.7477255693416414,0.8070649204210845,0.6502885212544511,-0.1369295420972255,-0.1086165423736738,-0.1358162787012809,-0.21666261098427456,-0.18727300434043517,-0.23638228922926113,-0.1949831753745606,-0.20779978302058824,-0.19255004807154438,-0.18636875724029722,-0.1903774292791256,-0.10148770742456288,-0.0679670443112586,-0.09125013157677998,-0.1692472282654109,-0.13182959583465473,-0.17730257756775206,-0.12677556883271518,-0.13434426320385953,-0.11176045110893823,-0.09934925378946553,-0.0996733278747498,-0.008066045129045936,-0.006890428066228159,-0.008101383980361287,-0.015790054924307358,-0.016234514110481133,-0.02118622847633198,-0.01797935313819663,-0.016867507993831223,-0.013425946153146417,-0.009969522845415583,-0.007461503552378011
FDX,2020-03-16,2020-03-26,81.0611,112.5128,10,8,38.8,9.65,4.0208,0.06466686551453686,0.06483030734370776,0.07460189946166824,0.09392334014761429,0.08550997669059617,0.10487031295939912,0.10419060630926541,0.10064364571428693,0.0973035042010286,0.10100215343862187,0.09924344050174132,0.48138591832241345,0.49382020243288755,0.5912449625939269,0.7796773411660497,0.7350326822610165,0.9507772791161284,0.9418313544279757,0.8909940358728944,0.7409589624466864,0.6798883781332667,0.6240026086658664,-0.25365464555502926,-0.2206598382350203,-0.28197688518002545,-0.3714001153925667,-0.3078669933105962,-0.41139270752504437,-0.3811754801998801,-0.349354984627678,-0.269949954801299,-0.272937177969433,-0.26733685193451384,22.500559772911174,29.39206667293726,24.77972998704267,19.901863410779328,30.08901052529113,24.47140995032187,28.455317807874764,32.503831788455855,41.558318993998476,41.250419543472006,41.77493272411793,1.3379716084678819,1.1857841612711697,1.5102240167746102,1.553024655941716,1.256309096118666,1.2479430015438966,1.4911931802912135,1.7556135377204647,1.1366838546813693,1.0589588433536692,0.9211381285715791,-0.2299266581873786,-0.19351354292312048,-0.25401116847532296,-0.3435362894750074,-0.27405751979833926,-0.37853796809437057,-0.3426516214215033,-0.30489165224233633,-0.2165843154081974,-0.21595231044425578,-0.20590908006373296,-0.21163409776361602,-0.16775309196868562,-0.22198186991969038,-0.30539236555297855,-0.22136941340095284,-0.3225718934345703,-0.27199075975841003,-0.2176144156711153,-0.10502055797664331,-0.09128339940539208,-0.06944637715093392,-0.028762675492812827,-0.026465649938463585,-0.03165035202326482,-0.04506049562536826,-0.037527416802212187,-0.04993029232454213,-0.04462378456493314,-0.03457153673001419,-0.017045774420189574,-0.006954913623753509,0.0011438545134338934
FTNT,2020-03-16,2020-04-08,15.14,21.836,23,17,44.23,6.64,6.6603,0.06801043579077681,0.06883032539106783,0.07216763222737269,0.09115835507414115,0.08371077171917107,0.09788640112197738,0.0964954119244737,0.10287694543334723,0.09917596402387367,0.10162022021842458,0.09822053463618807,0.40603022084299245,0.4219156930239945,0.471696193313623,0.6437478191394053,0.614531867108756,0.7137165355267681,0.7025857383533395,0.7163626183890863,0.6006898530829524,0.5791237884358534,0.5532783373574899,-0.052677323108465825,-0.01446691910519079,-0.045088221892011705,-0.17683365411035307,-0.10300370677634228,-0.17831665942868727,-0.15338885395180663,-0.1699750567744554,-0.06610178503888084,-0.08023688135847382,-0.07013295758207932,26.280686882380564,31.662062225925098,29.846598053999458,23.48963992520933,32.23444599415103,28.651057889120622,31.39662599036494,30.57734491406758,41.19719261251251,40.335558848944856,41.38124520149049,1.9705299081059258,1.6630162099575454,1.1875700657948403,1.2621465225461295,1.196709975926653,1.3037366040503646,1.451612256437196,1.3134397558653688,1.6709144826480724,1.3633948765172865,1.1701791988124257,-0.22923155318193392,-0.19507109077244766,-0.21693868971413738,-0.32126333468966173,-0.2569040354704925,-0.31512300816987454,-0.2898686540290296,-0.2989939334148774,-0.2069423664492609,-0.2142880772503977,-0.20090048445681158,-0.20742191346422814,-0.1642137924777017,-0.17862077990584088,-0.2779759418867991,-0.19901912881053171,-0.2504876085933025,-0.21134163262719413,-0.209451050589236,-0.09497222180559457,-0.09403239412062823,-0.0721838612142694,-0.02351044769035427,-0.024124264472279222,-0.02624675768587557,-0.03960086680419767,-0.03390311514751772,-0.038623928040085846,-0.033888876296638976,-0.030903190263537973,-0.016063888302636435,-0.00832707621864689,-0.0012954478796880706
MSC,2020-03-16,2020-03-30,16.5,20.2,14,10,22.42,9.36,2.3967,0.03556910583176266,0.051468255027892096,0.04952380392286512,0.05478260285118845,0.05478260285118845,0.05779220531513165,0.04917748769124349,0.0380952347924699,0.0380952347924699,0.03320346353374003,0.02813852813852814,0.15666653038410688,0.17925193725021138,0.1817693729946532,0.2031087028143392,0.2111938496508994,0.24115429126986326,0.2531184701195112,0.2576591893712493,0.26448355556109315,0.2663630573374201,0.2634035674077887,0.0036463912620090023,-0.08191136045301885,-0.08170995985948552,-0.1196509240809165,-0.11932956885803173,-0.15704075462791417,-0.15634682990571627,-0.15570576769891,-0.15501396939383602,-0.15409992553983615,-0.1535314426677196,57.280102775911324,39.34661745094878,39.34661745094878,33.858211829513735,33.858211829513735,29.143549351515972,29.143549351515972,29.143549351515972,29.143549351515972,29.143549351515972,29.143549351515972,0.0,1.7435897435897436,0.0,0.9900990099009901,0.0,0.19607843137254902,0.24213075060532688,0.0,0.0,0.0,0.0,0.007082346560504397,-0.07710292042812911,-0.07473089778297859,-0.11099887350262086,-0.10870216399463983,-0.14458130852482218,-0.14168894514527894,-0.1387769559415387,-0.13518386259248952,-0.13156066227293567,-0.12839529362363097,0.0279177986988218,-0.05613382359209066,-0.05150836802914651,-0.0847349723797003,-0.07835332441878537,-0.11044019567401066,-0.10230950963166968,-0.09400394812371961,-0.08678325995007911,-0.07944655093339673,-0.07199100212038063,0.004911909924774153,0.0014495364725397586,-0.0009521724894736448,-0.005147197175635374,-0.00732928840455064,-0.01141557660195091,-0.012967682576384476,-0.013029303932590565,-0.012123791693040543,-0.010631934726388004,-0.008826541521680548
NFLX,2020-03-16,2020-04-16,29.884,43.917,31,22,46.96,8.05,5.8355,0.052462851866453775,0.05188295939322947,0.05527996848993829,0.06887730082925995,0.0666815169942643,0.0806857787453943,0.0778085406831259,0.08126875712603011,0.08002719580951669,0.08018464574447373,0.07549694497795895,0.11484884187304548,0.11210738765734674,0.13255447818862817,0.21925265984332476,0.22143283892672977,0.31992938799543064,0.3141576786669078,0.3326755295783682,0.3114231442470825,0.30658812925260315,0.28072719981703004,0.07137805189768805,0.12571505359560148,0.08185938199753907,-0.024730855892360022,0.04059773304387309,-0.07455405165408384,-0.009439202466516326,-0.02237787081537504,0.029281311893160678,0.03212769027952203,0.11716652299023037,40.956357975094,49.0818801954344,43.847099612292624,34.249254976066425,42.48158670115917,34.26070238267155,41.11118897478736,40.18804958695829,45.30548438964087,45.54786840812382,53.20745982790455,1.1338061161686217,1.144025436828791,0.8995247540687996,1.704414370530388,1.2901316157404186,1.3763543728991172,1.2652807488151299,1.5174419795571397,1.2306893297751234,1.209708384022059,1.4464994496066046,-0.024066441419335106,0.023802172515634545,-0.01730221764932153,-0.11426675504082304,-0.05579959252655906,-0.15951115835678312,-0.10039049313407997,-0.1114141571933711,-0.06483700947094538,-0.062244100680683735,0.013662959368798524,-0.0756853229034828,-0.027727935687569535,-0.0626958498105097,-0.14817557126602926,-0.08572636732021947,-0.1784580004717051,-0.11267684085654293,-0.11587853612772397,-0.06237735752522025,-0.05380700201649243,0.02543012167852866,-0.010879235577733756,-0.00965233689043761,-0.011796422393212902,-0.02077422631441973,-0.019048161325716833,-0.028049290624501993,-0.02451708875166524,-0.023252801004767655,-0.01667332007603626,-0.012053774668653348,-0.002861474247230172
TSCO,2020-03-16,2020-03-30,12.251,15.5593,14,10,27.0,7.07,3.8185,0.05389437285290641,0.05424442814682027,0.058883473889273,0.07299693046849158,0.07950772749671896,0.09471493406105412,0.09356150029328666,0.09420373522508156,0.09406615631977719,0.09569602043188556,0.09405766670750136,0.22624946162558643,0.22170837587607772,0.2547354503494457,0.3323617538154414,0.3743802074809228,0.5167160216676979,0.5361877208417822,0.5389289917813121,0.50437800616991,0.4892778057293782,0.4590179609405824,-0.1751539477547918,-0.11219220965016495,-0.14873165871299518,-0.2172156424459299,-0.21940606090818307,-0.30890884233584726,-0.2747889875109587,-0.25389824394870825,-0.21289522282655762,-0.21672469012600332,-0.1933714475228465,29.467147272084333,41.4278341236643,37.35288977117068,31.203911247029964,30.96139595814782,24.830570148042284,30.242875543992213,33.3409378686478,39.18813488028843,38.73545460019469,41.96900794593391,2.505911498216372,1.6080411309151135,1.4506635273972603,1.6428583446906602,1.2933320398396069,1.161009762554811,1.7071317070110719,1.0244272095351252,1.0397685369036138,1.0837104673509694,0.9013259044139871,-0.13323051677520695,-0.06667730709331961,-0.1041882005015862,-0.17435603684442408,-0.1745828501809966,-0.26639595308096464,-0.22778632392383918,-0.20339028461128048,-0.15830372942229662,-0.16073035205210115,-0.1345811685248,-0.1443299185931668,-0.07464446410563987,-0.10687109153052651,-0.17002986386003777,-0.16343677799061654,-0.24801085609580384,-0.20005054473003728,-0.1659909360839818,-0.10996926633483582,-0.10308972149143826,-0.06755049831431209,-0.01353426653166154,-0.012445605826589393,-0.014942157186659689,-0.022292826672298368,-0.025080352700347548,-0.0369309885939432,-0.03528002554360135,-0.030468428183830706,-0.02141915862857783,-0.0156043780963584,-0.00848141954795019
AFL,2020-03-18,2020-03-25,21.8877,31.8138,7,5,45.35,6.78,6.6896,0.06355875978905984,0.08593258867729192,0.08061202683684887,0.10621892773601677,0.1048330066636124,0.1389563780556897,0.13526285707404204,0.13791351177361594,0.14152252340674734,0.1298767959825218,0.1141340117672839,0.5693646950270894,0.7648415980045644,0.7145998771361969,0.9318342592450137,0.9295003482241984,1.1969062724752288,1.146252737522625,1.1458650992281472,1.1962642388071814,1.0230386312271158,0.7658247034018176,-0.28731012069415424,-0.3926896368265555,-0.3284494410086608,-0.43760722994646173,-0.4139461104512279,-0.5075416151478397,-0.4744816278083565,-0.4764626219151451,-0.4954830426284766,-0.4269343242364805,-0.27572862569947254,24.357532093959833,18.53993435273958,29.310912311532093,23.48231549574858,26.677816662103126,22.433400975891445,26.632191825905835,26.47124565862704,25.457679691815287,34.358579096926604,48.97725941485854,1.1794557249574942,1.168475954601918,1.162809109851184,1.0747709328504087,1.2202736631112734,1.2339527193924265,1.1382907464373355,1.0746753121887247,1.0425960954394606,0.8935219547062535,2.0042317886911105,-0.25902136776708273,-0.364381516410017,-0.2931025622933229,-0.4034002102517783,-0.3737154333816375,-0.46906683270269794,-0.4287826549827049,-0.42618280132792113,-0.4421540814855125,-0.36160131768601883,-0.1889797691419607,-0.19982169861784047,-0.30378272105994353,-0.21613401555031161,-0.3270346797070702,-0.28199752623428564,-0.37877186126221374,-0.3180896322980224,-0.300408373623161,-0.3062569488714875,-0.19366235779899968,0.03143723054014411,-0.025519404448981094,-0.03952200747668002,-0.032556675760985754,-0.046045155444652174,-0.0427173363197946,-0.05808475575133734,-0.05061714397084654,-0.044647551943998644,-0.04079529622619938,-0.02190019346951044,0.005095025222356078
