ticker,wave_start,wave_end,sample_date,label,sample_type,total_ret_pct,duration_days,feat_dist_sma20,feat_dist_sma50,feat_rsi14,feat_rsi_3d_delta,feat_bb_width,feat_vol_spike,feat_consecutive_ups
AAPL,2019-08-05,2020-02-12,2019-11-06,0,mid_trend,70.79,132,0.0565550679415778,0.1260270655086761,76.29417584998254,0.33305785461209325,0.13210075698289897,0.7571688835810075,5.0
AAPL,2019-08-05,2020-02-12,2020-02-12,1,peak,70.79,132,0.03022302270411747,0.09890365798096308,63.66426086637546,4.321310077052189,0.06655574106337815,0.8523176243046887,1.0
AAPL,2020-04-01,2020-04-14,2020-04-07,0,mid_trend,19.15,8,0.03801261401672958,-0.0869278437602011,49.46420725224457,5.873141640110077,0.20013801655770277,0.766917745698677,0.0
AAPL,2020-04-01,2020-04-14,2020-04-14,1,peak,19.15,8,0.1370322034377025,0.02310301470400789,59.30345799502294,7.42826717477984,0.20427967396424868,0.8514134713795187,2.0
AAPL,2020-04-21,2020-07-20,2020-06-04,0,mid_trend,47.0,62,0.021438296803967145,0.11526329785302923,65.08911009884551,-1.8963369014278868,0.07300946731805133,0.6998807426567211,0.0
AAPL,2020-04-21,2020-07-20,2020-07-20,1,peak,47.0,62,0.05206429960444506,0.13892546828219807,72.47618155615115,-2.61954464914038,0.12431556856344345,0.6564662118109841,1.0
AAPL,2020-07-24,2020-09-01,2020-08-12,0,mid_trend,45.14,27,0.10663533000861705,0.1960819345541665,70.03473610345688,-3.0058294000102848,0.2836080263984908,1.0082149813057881,1.0
AAPL,2020-07-24,2020-09-01,2020-09-01,1,peak,45.14,27,0.12828860480133938,0.28100719565460347,82.04279995735195,6.9155001007881225,0.21454805529316623,0.812385866244595,2.0
AAPL,2020-09-18,2020-10-12,2020-09-30,0,mid_trend,16.44,16,0.014342333790734709,0.02540614947365364,52.9159827195426,4.506309282165297,0.19329411821456546,0.7643388672264757,1.0
AAPL,2020-09-18,2020-10-12,2020-10-12,1,peak,16.44,16,0.09598214186809965,0.07038038365884475,62.68278386049115,11.303988439720023,0.12956508742107173,1.5594011009883242,2.0
AAPL,2020-11-23,2020-12-28,2020-12-09,0,mid_trend,20.06,23,0.017695654411424868,0.037497657293321725,56.1879934844752,-3.589900421491379,0.09792306718147921,1.2250348451869948,0.0
AAPL,2020-11-23,2020-12-28,2020-12-28,1,peak,20.06,23,0.08563417117563137,0.13910880188356659,73.6475514383882,4.536295960478284,0.13142874251422434,1.1447092157651932,2.0
AAPL,2021-03-08,2021-04-19,2021-03-26,0,mid_trend,15.88,29,-0.006312457018905946,-0.056689169076382495,45.021025730080325,-1.4777811915606733,0.08422232259798641,0.795325234793171,2.0
AAPL,2021-03-08,2021-04-19,2021-04-19,1,peak,15.88,29,0.062221425772210605,0.065212949175669,64.44235825683405,3.61181107153498,0.16586866641551617,1.0274064760890407,1.0
AAPL,2021-05-12,2021-09-07,2021-07-09,0,mid_trend,27.82,81,0.07226376745590896,0.11442153575341485,77.96658566011048,-0.4668416500754091,0.14454601710313683,1.2450182996531514,9.0
AAPL,2021-05-12,2021-09-07,2021-09-07,1,peak,27.82,81,0.04531787146203367,0.06926274544590422,70.64334686480257,7.637680484255554,0.07723502581528718,1.1591832548377141,2.0
AAPL,2021-10-04,2021-12-10,2021-11-05,0,mid_trend,29.16,48,0.024110397946979167,0.02674105683984498,60.389308192918044,2.7672037376466676,0.08970594125013796,0.9275070207078472,0.0
AAPL,2021-10-04,2021-12-10,2021-12-10,1,peak,29.16,48,0.10581151055687861,0.17336064245279684,78.72000449100484,5.529040675878534,0.183021673856784,1.0861454611217258,1.0
AAPL,2022-03-14,2022-03-29,2022-03-21,0,mid_trend,18.82,11,0.025777855320871016,-0.005969995610548163,53.308192475985074,7.280572794804748,0.1039899180184143,0.9810538346577264,5.0
AAPL,2022-03-14,2022-03-29,2022-03-29,1,peak,18.82,11,0.0890414368407529,0.07520467723932624,67.51199106430215,4.780040474051113,0.17160165981023437,1.0579208549742665,11.0
AAPL,2022-06-16,2022-08-17,2022-07-19,0,mid_trend,34.39,42,0.057448962318151206,0.05412921872929517,60.424117935688265,1.4971350516185424,0.1282024695730066,1.1075767913715617,1.0
AAPL,2022-06-16,2022-08-17,2022-08-17,1,peak,34.39,42,0.06842695700934126,0.16232944660616888,76.52444980360963,1.9082678802951705,0.16537380469989976,1.1929735415200295,4.0
AAPL,2023-01-05,2023-02-15,2023-01-26,0,mid_trend,24.43,28,0.07918469686536335,0.034540269480688716,65.29017346983436,3.4280976812742807,0.16409420839488925,0.7304673092012924,6.0
AAPL,2023-01-05,2023-02-15,2023-02-15,1,peak,24.43,28,0.05466879811757744,0.11292434918647534,67.59489335791383,4.588588353960986,0.15685357593205654,0.8875426057008822,4.0
AAPL,2023-03-01,2023-07-31,2023-05-15,0,mid_trend,35.38,104,0.019768001915871813,0.058344824427196115,61.44654963591647,-3.9559426099184094,0.08069626969788897,0.6697647752867802,0.0
AAPL,2023-03-01,2023-07-31,2023-07-31,1,peak,35.38,104,0.02098883506552643,0.05743805250606933,66.60594345232764,1.9705603387907047,0.04623615294339053,0.7795111804472179,2.0
