ticker,slot,entry_date,exit_date,entry_price,exit_price,shares,pnl_€,ret_%,hold_d,earned_mode,earned_date,pyramid_count,max_unreal_%,exit_reason,exit_type,is_rotation,partial_exit_date,partial_exit_px,partial_exit_ret,setup
TLT,1,2020-02-28,2020-03-11,128.91,138.28,38,316.0,6.42,8,True,2020-03-03,0,11.07,ATR,Full,False,,,,A
IEF,2,2020-02-28,2020-03-11,100.76,103.8,49,108.84,2.2,8,True,2020-03-02,0,4.05,ATR,Full,False,,,,A
ECL,2,2020-05-29,2020-06-12,198.25,195.62,26,-108.28,-2.09,10,True,2020-06-05,0,8.86,ATR,Full,False,,,,A
LQD,2,2020-06-16,2020-06-22,109.28,108.55,46,-73.54,-1.46,4,False,,0,0.0,Rotation,Full,True,,,,A
KEYS,1,2020-05-21,2020-07-08,102.4,100.42,50,-139.0,-2.7,32,False,,0,5.6,Rotation,Full,True,,,,A
APD,1,2020-07-08,2020-07-09,231.66,235.68,21,44.37,0.91,1,False,,0,1.27,Rotation,Full,True,,,,A
MRVL,1,2020-07-09,2020-07-24,36.96,33.98,136,-445.32,-8.82,11,False,,0,1.27,ATR,Full,False,,,,A
HOLX,2,2020-06-22,2020-08-11,55.01,66.34,92,1002.36,19.73,35,True,2020-07-02,0,33.28,ATR,Full,False,,,,A
NKE,2,2020-08-11,2020-08-12,98.43,97.39,54,-96.21,-1.8,1,False,,0,0.0,Rotation,Full,True,,,,A
MPWR,1,2020-07-30,2020-09-08,250.77,236.03,18,-305.42,-6.74,27,True,2020-08-06,0,8.21,ATR,Full,False,,,,A
ALB,2,2020-08-12,2020-09-24,87.06,75.08,60,-759.15,-14.48,30,True,2020-09-15,0,8.18,ATR,Full,False,,,,A
NKE,2,2020-09-24,2020-10-23,116.73,120.02,39,88.18,1.93,21,False,,0,3.59,Rotation,Full,True,,,,A
CAT,1,2020-09-10,2020-10-28,136.8,139.26,36,48.43,0.98,34,True,2020-10-12,0,11.61,ATR,Full,False,,,,A
CL,1,2020-11-04,2020-11-05,73.19,74.42,65,39.91,0.84,1,False,,0,0.61,Rotation,Full,True,,,,A
MPWR,1,2020-11-05,2020-11-10,328.95,302.33,14,-412.59,-8.92,3,False,,0,4.36,ATR,Full,False,,,,A
ALGN,2,2020-10-23,2020-11-20,451.34,443.39,10,-119.5,-2.64,20,True,2020-11-05,0,8.99,ATR,Full,False,,,,A
COST,2,2020-12-01,2020-12-07,363.31,353.64,12,-155.99,-3.56,4,False,,0,0.8,Rotation,Full,True,,,,A
CAT,2,2020-12-07,2020-12-31,163.34,163.21,26,-43.3,-1.01,17,False,,0,0.75,Rotation,Full,True,,,,A
FCX,2,2020-12-31,2021-01-27,24.73,24.29,174,-117.8,-2.72,17,True,2021-01-05,0,20.49,ATR,Full,False,,,,A
ON,1,2020-11-10,2021-01-28,27.5,35.35,168,1278.8,27.56,53,True,2020-11-27,0,40.07,ATR,Full,False,,,,A
CPB,1,2021-01-28,2021-01-29,42.74,40.14,118,-346.48,-6.84,1,False,,0,0.0,ATR,Full,False,,,,A
MSFT,2,2021-01-27,2021-02-05,227.85,231.9,18,32.89,0.8,7,False,,0,2.1,Rotation,Full,True,,,,A
ABT,1,2021-01-29,2021-02-09,109.07,113.22,44,142.78,2.96,7,False,,0,3.53,Rotation,Full,True,,,,A
DIS,1,2021-02-09,2021-03-29,183.84,180.98,26,-114.43,-2.38,33,True,2021-02-24,0,7.3,ATR,Full,False,,,,A
EWL,1,2021-04-09,2021-04-14,41.64,41.7,117,-33.64,-0.69,3,False,,0,0.5,Rotation,Full,True,,,,A
EWQ,1,2021-04-14,2021-04-15,31.13,31.29,156,-14.64,-0.3,1,False,,0,0.05,Rotation,Full,True,,,,A
WFC,1,2021-04-15,2021-06-11,37.46,40.28,130,327.63,6.7,40,True,2021-04-19,0,14.02,ATR,Full,False,,,,A
HCA,2,2021-02-05,2021-06-21,171.6,194.96,28,614.1,12.73,93,True,2021-03-09,0,20.6,ATR,Full,False,,,,A
