ticker,trough_date,peak_date,wait_days,decision_date,rem_ret_pct,rest_dd_pct,rem_tq,total_ret,snap_atr_pct,delta_atr_pct,snap_bb_width,delta_bb_width,snap_dist_sma200,delta_dist_sma200,snap_rsi14,delta_rsi14,snap_vol_spike,delta_vol_spike,snap_dist_sma50,delta_dist_sma50,snap_dist_sma20,delta_dist_sma20,snap_macd_hist_norm,delta_macd_hist_norm
AAPL,2020-04-01,2020-04-14,0,2020-04-01,19.15,1.44,13.3267,19.15,0.07428675211502091,0.0,0.3179430173547462,0.0,-0.03504326150356485,0.0,41.99681491964046,0.0,0.6320330998689511,0.0,-0.16694269046320548,0.0,-0.05964502267908639,0.0,0.0067895394111379265,0.0
AAPL,2020-04-21,2020-07-20,0,2020-04-21,47.0,4.8,9.7889,47.0,0.037488232381828766,0.0,0.23202113449981754,0.0,0.055365839543473495,0.0,49.74298726557784,0.0,0.9626087332980963,0.0,-0.03020554054750891,0.0,0.022282278502038354,0.0,0.011944184187883995,0.0
AAPL,2020-07-24,2020-09-01,0,2020-07-24,45.14,3.8,11.8736,45.14,0.02783026590498054,0.0,0.12362655884081082,0.0,0.2519636189363506,0.0,50.07424702145502,0.0,1.4001861087712442,0.0,0.05563955447834929,0.0,-0.018366804537077265,0.0,-0.008081908471796411,0.0
AAPL,2020-09-18,2020-10-12,0,2020-09-18,16.44,4.19,3.9183,16.44,0.064089435744317,0.0,0.28695717087550804,0.0,0.27198638065258074,0.0,38.99243982174915,0.0,1.3398278954873677,0.0,-0.03323661072938227,0.0,-0.11103429189390451,0.0,-0.022149374746790882,0.0
AAPL,2020-11-23,2020-12-28,0,2020-11-23,20.06,2.09,9.5972,20.06,0.027393861679483062,0.0,0.13123647813578404,0.0,0.218944274261644,0.0,44.36930298842465,0.0,1.1179298370256263,0.0,-0.012146226961080968,0.0,-0.01857731127837879,0.0,-0.0013943179841161611,0.0
AAPL,2021-03-08,2021-04-19,0,2021-03-08,15.88,4.52,3.5172,15.88,0.03920709523075667,0.0,0.2142258517774112,0.0,0.02251630740053771,0.0,31.64647500609098,0.0,1.3955666595054688,0.0,-0.11240707224853926,0.0,-0.08907289293111421,0.0,-0.009323099414591321,0.0
AAPL,2021-05-12,2021-09-07,0,2021-05-12,27.82,4.49,6.1932,27.82,0.024186552584149323,0.0,0.11074342247760276,0.0,0.0017503140847021069,0.0,35.488950586827315,0.0,1.1950849636101586,0.0,-0.030600868891035374,0.0,-0.06438543838995604,0.0,-0.010063706431501866,0.0
AAPL,2021-10-04,2021-12-10,0,2021-10-04,29.16,3.17,9.2047,29.16,0.021309432478101218,0.0,0.1345324359351265,0.0,0.032417570911694865,0.0,34.12497836014023,0.0,1.1037749638125893,0.0,-0.05813356277496145,0.0,-0.05210246606031529,0.0,-0.005964623481263078,0.0
AAPL,2022-03-14,2022-03-29,0,2022-03-14,18.82,0.0,37.6311,18.82,0.036245408252628446,0.0,0.14889858245005677,0.0,-0.018127732889258022,0.0,32.559928827223175,0.0,1.1913995173133642,0.0,-0.10335372720326744,0.0,-0.07883879091655162,0.0,-0.007949893705267394,0.0
AAPL,2022-06-16,2022-08-17,0,2022-06-16,34.39,3.49,9.8627,34.39,0.0365765738946272,0.0,0.19857487083936734,0.0,-0.18031751091715464,0.0,33.833463549426824,0.0,1.1568490332227954,0.0,-0.146431136351707,0.0,-0.08382647609055555,0.0,-0.007944031968805278,0.0
AAPL,2023-01-05,2023-02-15,0,2023-01-05,24.43,2.44,9.9965,24.43,0.03392032849675456,0.0,0.21646072164558883,0.0,-0.17042049307939336,0.0,33.47843988504553,0.0,0.9594592224468049,0.0,-0.11810789701731801,0.0,-0.06916831154513434,0.0,-0.005698599240978673,0.0
AAPL,2023-03-01,2023-07-31,0,2023-03-01,35.38,3.65,9.6857,35.38,0.020465634153905253,0.0,0.08511347264582556,0.0,-0.00993864064812504,0.0,45.956767795565504,0.0,0.8142643246801023,0.0,0.0326384265938743,0.0,-0.035156391128065546,0.0,-0.00873456390355507,0.0
AAPL,2023-10-26,2023-12-14,0,2023-10-26,18.86,1.29,14.5918,18.86,0.0186564512574008,0.0,0.08496748052549294,0.0,-0.018748462070025115,0.0,30.33482708186068,0.0,1.3198500208231736,0.0,-0.05722292278276336,0.0,-0.047605346257873445,0.0,-0.004867199050751474,0.0
AAPL,2024-04-19,2024-07-16,0,2024-04-19,42.51,4.24,10.033,42.51,0.0187662144636294,0.0,0.0663800328902468,0.0,-0.09281851198392203,0.0,37.90248417549095,0.0,1.155544628323386,0.0,-0.05785575571043428,0.0,-0.0305950991941754,0.0,-0.0009725553366182784,0.0
AAPL,2024-11-04,2024-12-26,0,2024-11-04,16.8,2.14,7.8419,16.8,0.017640780052940407,0.0,0.07222556147811775,0.0,0.09884187118515564,0.0,38.30145679128072,0.0,1.077809761642999,0.0,-0.022142685352939378,0.0,-0.0366365840234593,0.0,-0.006499644408296106,0.0
AAPL,2025-04-08,2025-05-01,0,2025-04-08,23.72,4.62,5.1325,23.72,0.05497373282069063,0.0,0.33974691324677153,0.0,-0.2447332826742364,0.0,20.057867694423308,0.0,1.8446882382322607,0.0,-0.24043694921772518,0.0,-0.18609721406233737,0.0,-0.025191747089400075,0.0
AAPL,2025-08-01,2025-09-04,0,2025-08-01,18.61,3.61,5.1522,18.61,0.017858914741068866,0.0,0.05615188451684315,0.0,-0.08524192148944267,0.0,35.46151385027832,0.0,2.083099793394447,0.0,-0.014112656484023475,0.0,-0.04011385002318317,0.0,-0.005876538592397177,0.0
AAPL,2025-09-10,2025-12-02,0,2025-09-10,26.31,4.96,5.3093,26.31,0.019350820159962298,0.0,0.07852569701187459,0.0,0.026104756303482076,0.0,48.13387265282572,0.0,1.709741395897029,0.0,0.030326007483980993,0.0,-0.021647246577854752,0.0,-0.0032906791711255425,0.0
ABBV,2020-03-23,2020-07-17,0,2020-03-23,60.59,4.79,12.654,60.59,0.0997674322641607,0.0,0.5212334730077125,0.0,-0.1674628591628467,0.0,26.652024804056083,0.0,1.1857812372747083,0.0,-0.2515667969761844,0.0,-0.21364938379440018,0.0,-0.033888143868039025,0.0
ABBV,2020-10-28,2020-12-09,0,2020-10-28,35.01,1.75,20.0514,35.01,0.020150387584361107,0.0,0.0820426053239344,0.0,-0.07128042654316463,0.0,30.232705373195813,0.0,1.5882076254772841,0.0,-0.08470545814235982,0.0,-0.05282399826236808,0.0,-0.0029636073774313,0.0
ABBV,2021-03-24,2021-08-31,0,2021-03-24,19.94,4.96,4.0229,19.94,0.02332207704503276,0.0,0.08053301997417409,0.0,0.06273401379800693,0.0,41.09539077304536,0.0,1.2497023365338376,0.0,-0.03683351235631132,0.0,-0.03434522736577542,0.0,-0.004816574507126917,0.0
ABBV,2021-09-20,2022-04-08,0,2021-09-20,68.16,3.51,19.4219,68.16,0.029779817639064152,0.0,0.2196618995140242,0.0,-0.025915342903443345,0.0,32.02708939717982,0.0,0.736298192786695,0.0,-0.07571220384657311,0.0,-0.055883872035901144,0.0,-0.005227669366725186,0.0
ABBV,2022-09-30,2022-10-27,0,2022-09-30,15.54,3.5,4.436,15.54,0.028228685506203367,0.0,0.07946936091170388,0.0,-0.07226599754497043,0.0,37.444777316644206,0.0,2.5379121174191255,0.0,-0.0497963042418808,0.0,-0.047034055009478985,0.0,-0.0018384623427676484,0.0
ABBV,2022-11-03,2023-01-06,0,2022-11-03,15.32,3.32,4.6162,15.32,0.02579283441650983,0.0,0.12858809882465377,0.0,-0.0036910506938702854,0.0,49.80700924097146,0.0,0.7255881613075549,0.0,0.023434746360610607,0.0,-0.0031418620538181093,0.0,-0.002635055492012776,0.0
ABBV,2023-06-28,2023-09-25,0,2023-06-28,18.0,4.37,4.1159,18.0,0.017890818395076762,0.0,0.055036209647030286,0.0,-0.1085201363030509,0.0,32.17244176349162,0.0,1.0307983807044636,0.0,-0.0811763536414003,0.0,-0.0284300960542022,0.0,0.00030666228437257163,0.0
ABBV,2023-11-15,2024-03-28,0,2023-11-15,33.6,2.72,12.3511,33.6,0.024538027897191124,0.0,0.08527577697816895,0.0,-0.0514123785256539,0.0,33.47189159699914,0.0,1.0687924075650266,0.0,-0.059219954264178545,0.0,-0.030548966706775618,0.0,-0.002548063215086129,0.0
ABBV,2024-07-03,2024-09-10,0,2024-07-03,22.79,2.82,8.0817,22.79,0.019675127070232078,0.0,0.06001891377196894,0.0,0.02998179138097654,0.0,42.812648456337094,0.0,0.5759031954986952,0.0,-0.0050017755929615245,0.0,-0.031022823110523203,0.0,-0.004215496058458446,0.0
ABBV,2025-01-22,2025-03-10,0,2025-01-22,28.05,1.76,15.9461,28.05,0.020578921268413847,0.0,0.06514675918441093,0.0,-0.03605831294483925,0.0,38.93569455075583,0.0,1.5903527004071236,0.0,-0.031623445703803356,0.0,-0.034465473944815105,0.0,-0.0032255934798568484,0.0
ABBV,2025-04-21,2025-05-02,0,2025-04-21,16.64,0.9,18.4425,16.64,0.054415546700609024,0.0,0.3353164924895936,0.0,-0.07817086829769836,0.0,29.19211029422388,0.0,0.7625159319092717,0.0,-0.137520976455658,0.0,-0.09562849955522607,0.0,-0.011345526854866802,0.0
ABBV,2025-06-27,2025-10-01,0,2025-06-27,35.2,4.39,8.0258,35.2,0.020596794935653296,0.0,0.0598571863876903,0.0,-0.020809724811738723,0.0,40.70975101644084,0.0,4.482833627188017,0.0,-0.018754128021739674,0.0,-0.02757115054633896,0.0,-0.003109171927152975,0.0
ABT,2020-03-23,2020-04-20,0,2020-03-23,56.66,3.49,16.2283,56.66,0.10128719867985118,0.0,0.3165103326506369,0.0,-0.2503764931459738,0.0,32.01691718330149,0.0,1.0836657161702017,0.0,-0.25317229831993393,0.0,-0.19086540647011113,0.0,-0.019456257121623764,0.0
ABT,2020-06-24,2020-08-27,0,2020-06-24,27.97,3.37,8.2889,27.97,0.032122400647108425,0.0,0.0864410961167494,0.0,0.025274277358195603,0.0,42.635345092643405,0.0,0.9218390252541777,0.0,-0.0488454038522271,0.0,-0.03750731041281381,0.0,-0.0022320415021874827,0.0
ABT,2020-12-09,2021-02-12,0,2020-12-09,21.09,3.12,6.7712,21.09,0.016997202179500636,0.0,0.09045970718827742,0.0,0.10338305350702727,0.0,41.72033778509563,0.0,1.2521478225222633,0.0,-0.02329482946737172,0.0,-0.027749214845279598,0.0,-0.0038133829702238706,0.0
ABT,2021-06-01,2021-09-08,0,2021-06-01,22.46,2.31,9.7343,22.46,0.023044317509881812,0.0,0.10562302543032029,0.0,-0.06065554517788749,0.0,23.431182384988432,0.0,4.237347165429429,0.0,-0.11374802677265358,0.0,-0.09535973432438287,0.0,-0.006791666218134383,0.0
ABT,2021-10-04,2021-12-27,0,2021-10-04,22.92,4.9,4.6796,22.92,0.01872117094051441,0.0,0.14809881847410125,0.0,-0.02281522664176104,0.0,24.379884854682857,0.0,1.1531748690506305,0.0,-0.06789895613594071,0.0,-0.06965313980557418,0.0,-0.010795377357353475,0.0
ABT,2022-10-21,2023-01-23,0,2022-10-21,20.48,4.52,4.5315,20.48,0.03490761975298822,0.0,0.11631094130689218,0.0,-0.1530435401379267,0.0,37.17508964793976,0.0,1.357014210866437,0.0,-0.07757476092326028,0.0,-0.04904371863158819,0.0,-0.004174475844846089,0.0
ABT,2023-03-22,2023-04-19,0,2023-03-22,16.51,2.26,7.3094,16.51,0.02140053129745701,0.0,0.09173197354107103,0.0,-0.07838599719991941,0.0,36.02320504361806,0.0,0.6324259682691094,0.0,-0.08614482435317315,0.0,-0.027993086556242597,0.0,0.0009243645350154373,0.0
ABT,2023-10-12,2024-03-08,0,2023-10-12,34.76,4.06,8.5612,34.76,0.02413174029175222,0.0,0.11815244623911555,0.0,-0.13440564815342462,0.0,25.005601678441877,0.0,1.4518346437580643,0.0,-0.10467653858005857,0.0,-0.06643979846490222,0.0,-0.003045825098691934,0.0
ABT,2024-07-18,2024-10-18,0,2024-07-18,19.87,4.99,3.9781,19.87,0.020071311793914557,0.0,0.05930932539808631,0.0,-0.05089585585423814,0.0,39.456110506150715,0.0,2.0145544892258425,0.0,-0.032562275918718186,0.0,-0.03132729305893334,0.0,-0.0007085956152728843,0.0
ABT,2025-01-15,2025-03-03,0,2025-01-15,26.21,2.91,9.014,26.21,0.014703581755202222,0.0,0.035759178463661875,0.0,0.015343737324990534,0.0,39.48880583363555,0.0,1.315775451338306,0.0,-0.030826082878163883,0.0,-0.015094550195428342,0.0,-0.0006340891537060994,0.0
ADBE,2020-04-03,2020-07-10,0,2020-04-03,58.78,4.71,12.4876,58.78,0.08480880181835342,0.0,0.18448717101288944,0.0,-0.04805154635047116,0.0,42.89872814987306,0.0,0.6817931747906164,0.0,-0.13512609905976974,0.0,-0.04614634333503644,0.0,0.0018978287758423063,0.0
