ticker,slot,entry_date,exit_date,entry_price,exit_price,shares,pnl_€,ret_%,hold_d,earned_mode,earned_date,pyramid_count,max_unreal_%,exit_reason,is_rotation
TLT,1,2020-02-28,2020-03-11,128.91,138.28,38,316.0,6.42,8,True,2020-03-03,0,11.07,ATR,False
IEF,2,2020-02-28,2020-03-11,100.76,103.8,49,108.84,2.2,8,True,2020-03-02,0,4.05,ATR,False
ECL,2,2020-05-29,2020-06-12,198.25,195.62,26,-108.28,-2.09,10,True,2020-06-05,0,8.86,ATR,False
LQD,2,2020-06-16,2020-06-22,109.28,108.55,46,-73.54,-1.46,4,False,,0,0.0,Rotation,True
KEYS,1,2020-05-21,2020-07-08,102.4,100.42,50,-139.0,-2.7,32,False,,0,5.6,Rotation,True
APD,1,2020-07-08,2020-07-09,231.66,235.68,21,44.37,0.91,1,False,,0,1.27,Rotation,True
MRVL,1,2020-07-09,2020-07-24,36.96,33.98,136,-445.32,-8.82,11,False,,0,1.27,ATR,False
HOLX,2,2020-06-22,2020-08-11,55.01,66.34,92,1002.36,19.73,35,True,2020-07-02,0,33.28,ATR,False
NKE,2,2020-08-11,2020-08-12,98.43,97.39,54,-96.21,-1.8,1,False,,0,0.0,Rotation,True
MPWR,1,2020-07-30,2020-09-08,250.77,236.03,18,-305.42,-6.74,27,True,2020-08-06,0,8.21,ATR,False
ALB,2,2020-08-12,2020-09-24,87.06,75.08,60,-759.15,-14.48,30,True,2020-09-15,0,8.18,ATR,False
NKE,2,2020-09-24,2020-10-23,116.73,120.02,39,88.18,1.93,21,False,,0,3.59,Rotation,True
CAT,1,2020-09-10,2020-10-28,136.8,139.26,36,48.43,0.98,34,True,2020-10-12,0,11.61,ATR,False
CL,1,2020-11-04,2020-11-05,73.19,74.42,65,39.91,0.84,1,False,,0,0.61,Rotation,True
MPWR,1,2020-11-05,2020-11-10,328.95,302.33,14,-412.59,-8.92,3,False,,0,4.36,ATR,False
ALGN,2,2020-10-23,2020-11-20,451.34,443.39,10,-119.5,-2.64,20,True,2020-11-05,0,8.99,ATR,False
COST,2,2020-12-01,2020-12-07,363.31,353.64,12,-155.99,-3.56,4,False,,0,0.8,Rotation,True
CAT,2,2020-12-07,2020-12-31,163.34,163.21,26,-43.3,-1.01,17,False,,0,0.75,Rotation,True
FCX,2,2020-12-31,2021-01-27,24.73,24.29,174,-117.8,-2.72,17,True,2021-01-05,0,20.49,ATR,False
ON,1,2020-11-10,2021-01-28,27.5,35.35,168,1278.8,27.56,53,True,2020-11-27,0,40.07,ATR,False
CPB,1,2021-01-28,2021-01-29,42.74,40.14,118,-346.48,-6.84,1,False,,0,0.0,ATR,False
MSFT,2,2021-01-27,2021-02-05,227.85,231.9,18,32.89,0.8,7,False,,0,2.1,Rotation,True
ABT,1,2021-01-29,2021-02-09,109.07,113.22,44,142.78,2.96,7,False,,0,3.53,Rotation,True
DIS,1,2021-02-09,2021-03-29,183.84,180.98,26,-114.43,-2.38,33,True,2021-02-24,0,7.3,ATR,False
EWL,1,2021-04-09,2021-04-14,41.64,41.7,117,-33.64,-0.69,3,False,,0,0.5,Rotation,True
EWQ,1,2021-04-14,2021-04-15,31.13,31.29,156,-14.64,-0.3,1,False,,0,0.05,Rotation,True
WFC,1,2021-04-15,2021-06-11,37.46,40.28,130,327.63,6.7,40,True,2021-04-19,0,14.02,ATR,False
HCA,2,2021-02-05,2021-06-21,171.6,194.96,28,614.1,12.73,93,True,2021-03-09,0,20.6,ATR,False
LQD,2,2021-06-21,2021-06-25,111.08,111.16,48,-36.41,-0.68,4,False,,0,0.06,Rotation,True
SPGI,2,2021-06-25,2021-07-13,394.91,394.87,13,-40.62,-0.79,11,False,,0,2.03,Rotation,True
ADBE,1,2021-06-11,2021-09-21,529.75,646.88,9,1014.17,21.18,70,True,2021-06-14,0,25.83,ATR,False
ALB,2,2021-07-13,2021-09-21,175.62,206.9,30,898.24,16.98,49,True,2021-07-21,0,31.27,ATR,False
BKNG,2,2021-09-23,2021-09-24,94.66,96.3,66,68.15,1.09,1,False,,0,2.69,Rotation,True
COP,1,2021-09-23,2021-11-22,52.87,59.5,118,742.58,11.86,42,True,2021-09-27,0,23.74,ATR,False
CRM,2,2021-09-24,2021-11-24,274.47,281.9,22,123.48,2.04,43,True,2021-10-14,0,11.3,ATR,False
ADBE,1,2021-11-22,2021-11-24,696.28,655.83,9,-404.05,-6.43,2,False,,0,0.0,ATR,False
SJM,2,2021-11-24,2021-11-30,115.86,111.03,56,-310.67,-4.77,3,False,,0,0.0,Rotation,True
ABBV,1,2021-11-24,2021-12-01,100.69,98.23,64,-197.47,-3.05,4,False,,0,0.0,ATR,False
TLT,1,2021-12-02,2021-12-06,131.17,132.13,47,5.15,0.08,2,False,,0,0.93,Rotation,True
NEE,2,2021-11-30,2022-01-07,78.47,76.44,80,-202.56,-3.22,27,True,2021-12-08,0,6.03,ATR,False
MRVL,1,2021-12-06,2022-01-10,82.07,79.77,76,-214.93,-3.43,24,True,2021-12-07,0,9.58,ATR,False
VFH,1,2022-01-10,2022-01-19,93.31,90.89,64,-194.56,-3.25,6,False,,0,0.14,ATR,False
